id,store_id,customer_id,payment_type,amount,datetime
51,5,851,Cash,382.9,6/30/2022 19:36
52,5,723,Cash,181.55,8/30/2022 13:44
53,2,460,Ewallet,78.08,9/16/2022 23:23
54,3,423,Credit card,19.5,3/28/2022 4:07
55,2,975,Ewallet,28.96,7/6/2022 22:09
56,2,454,Cash,439.44,8/18/2022 8:38
57,2,159,Cash,53.96,9/1/2022 17:01
58,2,785,Ewallet,395.04,8/14/2022 9:23
59,4,779,Cash,604.1,5/6/2022 13:21
60,1,973,Cash,392.4,9/28/2022 21:09
61,2,325,Credit card,63.51,11/6/2022 23:03
62,1,810,Ewallet,226.44,5/22/2022 17:42
63,3,909,Ewallet,488.43,7/30/2022 3:01
64,5,990,Credit card,498,10/11/2022 2:15
65,5,650,Cash,83.04,9/21/2022 20:38
66,1,440,Cash,597,10/11/2022 16:54
67,1,382,Ewallet,14.96,11/14/2022 6:55
68,5,900,Ewallet,267.96,7/29/2022 5:02
69,1,951,Cash,592.6,9/25/2022 19:53
70,3,657,Cash,3.99,8/27/2022 19:47
71,5,987,Credit card,465.2,7/3/2022 13:32
72,3,307,Cash,655,5/22/2022 10:22
73,2,491,Ewallet,61.44,5/1/2022 16:07
74,4,538,Cash,271.2,11/4/2022 5:07
75,2,934,Ewallet,582.39,10/16/2022 6:49
76,5,977,Credit card,801.7,7/6/2022 0:10
77,3,677,Credit card,393.03,4/1/2022 18:02
78,3,809,Credit card,404.37,9/2/2022 0:21
79,5,760,Ewallet,537.1,11/3/2022 7:08
80,2,931,Cash,98.85,4/19/2022 11:01
81,3,178,Credit card,302.4,10/13/2022 20:12
82,3,290,Ewallet,20.94,6/2/2022 10:09
83,2,440,Ewallet,492.64,3/3/2022 17:56
84,5,937,Credit card,99.84,7/7/2022 12:48
85,3,578,Cash,188.8,5/23/2022 15:41
86,5,413,Ewallet,292.25,3/20/2022 12:56
87,3,754,Cash,154.55,5/14/2022 4:32
88,4,731,Credit card,216.51,10/21/2022 18:42
89,1,968,Cash,4.29,9/29/2022 11:49
90,3,152,Cash,167.7,7/26/2022 18:25
91,2,905,Cash,115.84,5/14/2022 19:11
92,5,437,Ewallet,586,10/3/2022 11:04
93,4,659,Ewallet,299.81,7/19/2022 3:14
94,4,688,Credit card,704.16,11/7/2022 6:23
95,5,501,Credit card,4.49,6/25/2022 0:23
96,3,148,Ewallet,3.49,7/23/2022 17:09
97,5,939,Ewallet,597,8/27/2022 12:28
98,4,943,Cash,218.46,8/7/2022 1:32
99,5,969,Ewallet,65.94,9/24/2022 7:15
100,4,147,Cash,192.24,4/26/2022 4:13
101,2,479,Cash,3.79,5/1/2022 8:47
102,1,125,Cash,444.42,11/30/2022 18:35
103,1,301,Cash,587.43,12/1/2022 23:54
104,1,543,Cash,193.5,12/19/2022 16:53
105,4,355,Cash,250.25,8/19/2022 13:57
106,5,988,Ewallet,647.2,9/8/2022 10:14
107,1,870,Credit card,249.24,5/15/2022 2:31
108,1,970,Cash,227.64,9/16/2022 8:44
109,3,56,Cash,584.73,3/23/2022 14:13
110,4,331,Cash,908,11/14/2022 14:14
111,4,712,Ewallet,27.56,8/4/2022 7:35
112,2,728,Credit card,132.69,3/12/2022 14:26
113,4,537,Cash,309.61,4/5/2022 9:58
114,3,157,Ewallet,659.43,4/9/2022 23:52
115,1,961,Credit card,575.28,7/5/2022 9:30
116,1,613,Credit card,61.41,7/3/2022 20:52
117,1,498,Ewallet,135.25,9/18/2022 12:02
118,2,659,Ewallet,24.95,6/10/2022 16:00
119,1,776,Ewallet,721.6,12/4/2022 10:31
120,2,348,Ewallet,43.96,11/17/2022 15:31
121,4,491,Credit card,461.76,9/4/2022 3:39
122,3,909,Credit card,281.33,9/13/2022 7:28
123,5,871,Credit card,640.89,4/28/2022 14:50
124,2,800,Credit card,392.72,11/18/2022 13:30
125,3,331,Ewallet,555.44,3/28/2022 18:47
126,2,792,Credit card,295.61,8/24/2022 3:52
127,4,737,Cash,172.55,12/27/2022 22:43
128,3,589,Credit card,450.63,4/27/2022 9:32
129,3,29,Ewallet,678.24,9/12/2022 16:49
130,4,843,Ewallet,418.59,5/27/2022 0:17
131,5,527,Cash,225.61,3/17/2022 4:20
132,5,855,Cash,305.7,8/11/2022 0:47
133,4,845,Cash,133.08,3/16/2022 21:01
134,4,422,Credit card,438.24,9/19/2022 17:20
135,2,688,Ewallet,231.3,7/7/2022 20:07
136,1,658,Cash,44.19,7/18/2022 5:15
137,2,320,Credit card,156.05,5/20/2022 14:24
138,2,126,Cash,236.4,8/23/2022 20:32
139,4,216,Cash,683,5/5/2022 22:42
140,1,479,Ewallet,413.44,12/19/2022 9:33
141,2,595,Credit card,703.6,10/16/2022 14:09
142,5,701,Cash,705.6,12/27/2022 0:44
143,4,951,Cash,633,10/22/2022 2:02
144,5,196,Credit card,5.49,7/11/2022 4:43
145,3,987,Ewallet,296.4,8/29/2022 15:45
146,3,9,Credit card,299.7,5/18/2022 18:27
147,1,8,Ewallet,862,3/26/2022 8:10
148,1,947,Credit card,76.24,10/26/2022 8:37
149,5,912,Credit card,813.44,8/18/2022 15:58
150,4,32,Credit card,404.16,9/29/2022 19:08
151,1,470,Credit card,73.04,5/30/2022 23:32
152,3,91,Credit card,298.9,8/14/2022 16:43
153,4,111,Credit card,570.69,8/15/2022 22:01
154,3,133,Ewallet,219.84,10/3/2022 3:44
155,1,895,Cash,427.36,10/1/2022 7:47
156,1,313,Credit card,167.75,3/7/2022 2:32
157,5,119,Cash,5.49,9/9/2022 22:52
158,5,217,Ewallet,176.05,6/1/2022 4:51
159,4,114,Ewallet,719.28,5/26/2022 16:57
160,3,218,Ewallet,305.46,12/12/2022 16:21
161,3,517,Credit card,340.96,3/13/2022 5:05
162,2,846,Cash,3.79,5/25/2022 18:58
163,1,142,Credit card,380.87,5/10/2022 12:36
164,5,449,Ewallet,16.56,8/7/2022 23:31
165,3,295,Credit card,546.2,11/14/2022 21:34
166,5,519,Ewallet,491.04,9/27/2022 15:51
167,1,886,Cash,778,4/14/2022 21:07
168,1,94,Credit card,874.6,8/3/2022 2:16
169,4,478,Cash,172.44,10/13/2022 5:32
170,1,147,Credit card,453.11,9/6/2022 21:35
171,1,68,Ewallet,152.3,12/10/2022 20:23
172,5,902,Credit card,159.75,6/9/2022 18:01
173,3,368,Cash,317.04,10/1/2022 0:27
174,3,758,Credit card,312.9,8/8/2022 14:10
175,2,305,Ewallet,467.36,9/13/2022 14:47
176,5,766,Ewallet,652.32,10/27/2022 6:36
177,4,739,Credit card,321.44,11/29/2022 20:36
178,4,464,Credit card,353.01,11/8/2022 4:22
179,3,342,Ewallet,278.64,3/26/2022 15:29
180,4,790,Ewallet,41.01,3/26/2022 0:50
181,4,584,Cash,212.38,3/27/2022 13:28
182,5,984,Cash,543.52,9/14/2022 20:06
183,4,700,Ewallet,580,12/8/2022 9:46
184,3,54,Ewallet,519.04,8/14/2022 2:03
185,3,970,Credit card,283.71,6/3/2022 15:28
186,2,456,Ewallet,35.01,10/26/2022 23:16
187,4,791,Ewallet,329.76,3/8/2022 15:10
188,3,56,Cash,82.24,8/8/2022 6:50
189,2,229,Ewallet,4.99,3/30/2022 7:25
190,5,878,Credit card,187.84,5/10/2022 19:56
191,5,313,Credit card,78.57,5/7/2022 11:20
192,2,440,Ewallet,18.16,6/9/2022 10:41
193,2,631,Cash,371.07,12/5/2022 1:10
194,5,420,Ewallet,81.44,9/10/2022 13:31
195,4,662,Credit card,131.05,12/10/2022 5:44
196,1,161,Cash,10.99,5/23/2022 8:21
197,5,868,Cash,44.56,3/8/2022 22:30
198,2,603,Ewallet,9.99,5/2/2022 21:25
199,4,970,Credit card,91.84,3/25/2022 17:30
200,4,590,Credit card,212.75,8/23/2022 13:12
201,4,693,Credit card,289.2,3/4/2022 8:36
202,5,463,Cash,141.04,9/20/2022 8:00
203,2,651,Cash,294.21,4/2/2022 16:01
204,2,694,Ewallet,563,11/13/2022 16:15
205,4,919,Credit card,139.55,10/15/2022 16:10
206,4,412,Ewallet,385.29,9/23/2022 1:56
207,5,175,Credit card,465.48,5/3/2022 4:45
208,5,199,Ewallet,877.6,9/17/2022 6:43
209,4,963,Ewallet,44.91,5/23/2022 1:01
210,5,554,Credit card,588.69,10/30/2022 7:52
211,2,54,Ewallet,694.53,10/10/2022 11:36
212,5,203,Cash,557.73,12/17/2022 20:55
213,3,347,Ewallet,220.05,3/10/2022 18:28
214,2,1,Credit card,29.31,9/10/2022 6:11
215,1,607,Cash,338.59,10/13/2022 12:52
216,3,590,Credit card,12.99,8/9/2022 4:49
217,1,481,Cash,162.3,9/1/2022 9:42
218,5,850,Cash,70.44,7/21/2022 6:32
219,4,37,Ewallet,507.52,4/11/2022 5:11
220,1,345,Credit card,53.91,7/27/2022 16:24
221,4,400,Ewallet,310.2,8/6/2022 18:12
222,1,159,Ewallet,309.05,5/13/2022 13:53
223,2,607,Cash,492.25,3/8/2022 7:51
224,3,528,Cash,2.99,10/1/2022 22:26
225,1,623,Cash,22.96,11/28/2022 7:58
226,4,70,Credit card,27.96,10/8/2022 8:18
227,4,628,Ewallet,469.53,7/13/2022 8:01
228,5,668,Ewallet,52.64,9/3/2022 12:59
229,1,549,Cash,364.5,12/2/2022 7:13
230,2,163,Ewallet,423.36,8/19/2022 6:37
231,1,95,Cash,18.48,10/17/2022 19:27
232,2,117,Credit card,55.41,5/28/2022 5:35
233,4,328,Cash,536.85,12/12/2022 23:41
234,2,795,Cash,90.08,12/1/2022 16:34
235,4,171,Ewallet,734.1,3/8/2022 0:31
236,1,359,Ewallet,36.98,10/3/2022 18:24
237,1,809,Credit card,159.8,7/10/2022 21:24
238,5,837,Credit card,96.25,12/21/2022 5:31
239,1,26,Cash,155.85,12/11/2022 3:43
240,4,829,Ewallet,0.99,6/18/2022 14:30
241,5,760,Credit card,511.29,11/28/2022 0:38
242,5,608,Credit card,29.96,6/10/2022 23:19
243,2,50,Credit card,12.96,7/12/2022 17:22
244,4,13,Cash,95.04,5/8/2022 9:19
245,1,925,Credit card,630.32,4/3/2022 6:40
246,3,208,Cash,385.84,4/12/2022 10:29
247,4,918,Cash,57.69,10/5/2022 21:41
248,4,407,Ewallet,136.55,6/22/2022 21:05
249,2,138,Credit card,158.24,6/21/2022 15:47
250,2,991,Credit card,237.58,7/10/2022 6:45
251,5,909,Ewallet,465.48,4/5/2022 2:38
252,5,792,Credit card,579,5/9/2022 7:18
253,1,753,Credit card,27.96,10/8/2022 22:58
254,5,700,Cash,87.04,6/6/2022 2:05
255,1,502,Cash,677.76,6/10/2022 8:40
256,1,783,Cash,117.04,10/1/2022 15:06
257,3,11,Credit card,7.99,7/10/2022 14:04
258,2,48,Ewallet,320.64,5/19/2022 23:45
259,4,116,Ewallet,155.88,6/19/2022 5:09
260,5,978,Credit card,107.84,7/16/2022 16:37
261,3,134,Ewallet,541.89,9/19/2022 2:41
262,5,849,Ewallet,61.84,5/9/2022 21:57
263,2,989,Cash,79.44,9/21/2022 5:58
264,2,45,Cash,460.7,11/16/2022 2:52
265,3,168,Ewallet,6.99,4/23/2022 17:36
266,5,254,Credit card,397.18,8/22/2022 7:54
267,5,191,Credit card,119.68,8/20/2022 4:36
268,2,87,Cash,771.2,5/2/2022 14:06
269,1,359,Credit card,59.08,4/9/2022 16:33
270,4,47,Ewallet,520,9/1/2022 2:22
271,1,250,Ewallet,93.75,7/6/2022 7:29
272,4,659,Cash,16.96,6/11/2022 21:18
273,3,7,Credit card,556.02,6/23/2022 4:25
274,4,822,Cash,37.96,5/17/2022 5:48
275,5,389,Ewallet,219.06,5/7/2022 4:00
276,1,530,Cash,353.01,9/8/2022 2:54
277,4,579,Cash,507.6,5/16/2022 22:29
278,5,45,Ewallet,101.04,5/26/2022 9:38
279,3,158,Cash,733,10/5/2022 14:21
280,5,387,Credit card,624.6,8/25/2022 9:10
281,5,176,Credit card,272.24,11/7/2022 21:02
282,1,248,Credit card,4.29,9/20/2022 22:39
283,5,677,Cash,10,12/19/2022 2:14
284,5,428,Ewallet,251.64,9/11/2022 18:50
285,3,166,Cash,101.04,5/18/2022 11:07
286,2,671,Cash,141.1,6/1/2022 19:30
287,4,441,Cash,2.19,11/2/2022 16:28
288,3,755,Cash,660.87,11/15/2022 4:54
289,2,987,Credit card,254.03,12/23/2022 23:28
290,3,818,Cash,230.58,8/7/2022 16:11
291,2,357,Credit card,726.1,10/20/2022 6:04
292,5,508,Ewallet,400.61,7/30/2022 10:21
293,5,478,Cash,4.99,3/11/2022 23:47
294,2,974,Cash,19.96,6/27/2022 11:00
295,3,983,Ewallet,817,4/6/2022 15:16
296,1,599,Cash,142.25,7/29/2022 19:41
297,4,977,Cash,77.04,11/9/2022 17:00
298,4,174,Ewallet,203.64,3/4/2022 1:16
299,3,146,Cash,137.84,10/18/2022 10:06
300,2,54,Cash,15.99,5/27/2022 14:56
301,4,359,Credit card,22.58,4/22/2022 4:58
302,5,279,Credit card,5.49,6/12/2022 11:57
303,4,768,Cash,10.99,10/2/2022 20:25
304,1,859,Credit card,229.84,7/6/2022 14:49
305,1,274,Cash,651.36,9/22/2022 18:37
306,3,770,Ewallet,271.11,3/6/2022 11:53
307,1,295,Cash,297.08,6/14/2022 15:15
308,2,755,Cash,663.04,5/15/2022 17:10
309,1,615,Ewallet,68.31,6/29/2022 21:37
310,1,194,Cash,18.56,5/5/2022 15:22
311,4,359,Cash,209.64,5/19/2022 9:06
312,3,678,Ewallet,35.48,9/26/2022 17:52
313,1,859,Credit card,163.75,5/29/2022 10:54
314,1,953,Cash,573.48,10/23/2022 0:01
315,3,842,Cash,675,8/30/2022 21:04
316,3,216,Cash,19.96,12/29/2022 4:02
317,4,239,Cash,72.81,3/2/2022 12:38
318,5,377,Cash,162.25,11/20/2022 2:08
319,2,999,Credit card,351.33,5/25/2022 4:19
320,4,261,Ewallet,134.88,6/17/2022 1:52
321,3,675,Cash,516.69,12/27/2022 15:23
322,5,589,Cash,15.99,3/24/2022 4:52
323,5,846,Ewallet,295.5,10/6/2022 12:20
324,5,373,Cash,144.75,11/8/2022 19:01
325,3,763,Credit card,199.2,12/18/2022 4:15
326,2,534,Ewallet,122.88,8/18/2022 1:19
327,2,244,Cash,129.75,5/1/2022 23:26
328,5,611,Cash,79.84,11/5/2022 17:45
329,3,526,Credit card,179.84,10/4/2022 1:43
330,2,97,Cash,97.04,7/25/2022 5:47
331,5,12,Cash,467.73,5/29/2022 18:14
332,5,103,Credit card,54.21,6/13/2022 9:56
333,1,424,Cash,163.75,10/11/2022 9:35
334,3,110,Credit card,20.96,12/20/2022 14:52
335,3,381,Ewallet,227.75,4/2/2022 8:41
336,5,542,Credit card,117.25,11/19/2022 11:29
337,5,557,Ewallet,625.59,8/21/2022 17:14
338,5,937,Cash,212.64,10/27/2022 13:56
339,2,933,Credit card,64.41,5/4/2022 10:03
340,5,445,Credit card,780.39,8/31/2022 19:03
341,4,993,Credit card,37.41,7/16/2022 23:57
342,5,882,Ewallet,352.73,7/9/2022 23:25
343,4,928,Cash,362.11,3/14/2022 3:04
344,2,362,Ewallet,166.05,8/1/2022 13:38
345,4,652,Cash,56.91,11/21/2022 14:46
346,1,689,Ewallet,574.29,8/22/2022 0:34
347,1,45,Cash,7.99,12/21/2022 20:10
348,3,835,Cash,353.92,12/12/2022 9:01
349,2,956,Cash,399.21,9/25/2022 5:14
350,2,557,Credit card,591,8/28/2022 10:27
351,3,215,Credit card,609,11/27/2022 9:59
352,1,94,Cash,461.51,10/8/2022 0:59
353,4,13,Credit card,216.23,9/30/2022 17:07
354,3,478,Cash,589.23,7/14/2022 6:00
355,4,277,Cash,2.99,12/3/2022 5:12
356,2,134,Credit card,133.08,7/27/2022 9:04
357,1,587,Credit card,579.6,4/18/2022 5:43
358,4,676,Cash,537.2,8/2/2022 18:57
359,1,57,Ewallet,69.09,5/31/2022 14:11
360,4,798,Cash,10.99,7/8/2022 10:47
361,4,115,Credit card,379.84,7/22/2022 19:10
362,2,931,Cash,341.04,11/25/2022 14:01
363,3,480,Ewallet,13.58,4/4/2022 11:59
364,3,952,Cash,311.64,11/4/2022 19:46
365,1,72,Cash,121.04,9/7/2022 12:15
366,5,7,Cash,75.08,8/3/2022 9:36
367,4,771,Cash,531.99,11/9/2022 2:21
368,3,879,Cash,73.84,5/23/2022 23:00
369,2,325,Cash,859.1,8/11/2022 22:46
370,5,555,Credit card,430.92,5/8/2022 16:38
371,2,192,Cash,297.01,10/2/2022 13:05
372,3,612,Credit card,16.96,7/30/2022 17:40
373,4,752,Ewallet,182.04,10/10/2022 18:55
374,4,191,Cash,216.24,3/1/2022 7:19
375,3,705,Credit card,111.8,5/28/2022 12:55
376,5,935,Ewallet,217.25,5/16/2022 7:49
377,5,230,Credit card,397.17,4/10/2022 14:32
378,4,950,Ewallet,240.03,12/18/2022 11:34
379,1,524,Ewallet,111.84,10/20/2022 20:43
380,1,594,Credit card,151.08,6/13/2022 17:16
381,2,355,Credit card,93.92,9/14/2022 5:27
382,5,242,Cash,39.96,11/3/2022 14:27
383,5,325,Cash,216.8,11/19/2022 18:48
384,2,317,Ewallet,74.28,11/21/2022 7:26
385,4,169,Ewallet,179.75,3/18/2022 9:39
386,4,711,Cash,7.99,11/10/2022 0:20
387,5,827,Cash,175.44,9/29/2022 4:29
388,3,13,Credit card,605,7/1/2022 10:15
389,3,646,Ewallet,721.53,5/30/2022 1:33
390,2,158,Credit card,451.01,6/3/2022 22:47
391,1,101,Cash,98.91,8/25/2022 16:30
392,1,562,Cash,486.6,7/28/2022 14:23
393,5,926,Ewallet,4.99,9/15/2022 3:26
394,1,871,Credit card,645.1,6/2/2022 2:50
395,1,777,Ewallet,7.95,6/17/2022 16:31
396,3,185,Ewallet,176.25,7/20/2022 15:52
397,2,77,Ewallet,208.75,7/31/2022 22:59
398,1,809,Cash,675.09,5/6/2022 6:01
399,1,699,Credit card,171.24,3/15/2022 1:03
400,2,319,Cash,490.32,11/9/2022 9:40
401,2,153,Credit card,238.5,3/19/2022 22:17
402,1,416,Credit card,81.68,12/29/2022 18:41
403,4,966,Ewallet,2.49,7/12/2022 10:02
404,1,578,Ewallet,232.25,11/20/2022 16:47
405,4,90,Ewallet,270.55,8/10/2022 17:27
406,1,744,Credit card,167.68,12/5/2022 15:49
407,1,444,Credit card,170.25,9/4/2022 10:58
408,5,599,Cash,83.84,10/19/2022 8:05
409,3,20,Ewallet,116.24,3/9/2022 5:50
410,1,349,Ewallet,128.8,11/24/2022 23:22
411,5,422,Cash,778.7,8/24/2022 11:11
412,1,358,Ewallet,16.56,10/28/2022 4:35
413,1,972,Cash,158.75,6/4/2022 20:46
414,5,443,Ewallet,41.91,9/20/2022 0:40
415,5,290,Ewallet,416.16,4/25/2022 13:34
416,5,73,Ewallet,2.99,4/7/2022 13:15
417,2,80,Credit card,102.88,8/9/2022 12:09
418,4,836,Ewallet,3.29,6/17/2022 23:51
419,1,594,Ewallet,16.96,11/23/2022 18:03
420,1,530,Cash,287.28,12/9/2022 15:05
421,2,437,Ewallet,65.91,5/24/2022 20:59
422,2,562,Cash,97.41,4/10/2022 21:51
423,3,876,Credit card,733,7/8/2022 18:06
424,2,912,Credit card,444.16,8/17/2022 17:59
425,5,233,Cash,5.99,9/9/2022 8:12
426,1,481,Cash,613.62,6/6/2022 16:44
427,2,703,Cash,257.11,12/26/2022 10:05
428,3,779,Credit card,73.41,12/6/2022 21:08
429,1,808,Cash,203.75,5/8/2022 1:59
430,1,984,Ewallet,694.7,4/18/2022 20:22
431,4,662,Credit card,42.96,6/3/2022 8:08
432,1,51,Ewallet,14.56,12/17/2022 6:16
433,5,694,Ewallet,208.44,12/23/2022 8:49
434,5,1,Credit card,250.11,10/4/2022 23:42
435,3,583,Credit card,7.49,5/7/2022 18:40
436,1,345,Ewallet,666.09,7/26/2022 3:46
437,2,646,Ewallet,85.04,7/11/2022 19:23
438,2,835,Credit card,188.64,8/10/2022 10:08
439,4,868,Ewallet,125.68,4/30/2022 18:08
440,5,443,Credit card,543.36,3/24/2022 19:31
441,5,603,Cash,91.6,9/18/2022 4:42
442,1,529,Credit card,449.12,12/14/2022 4:59
443,1,512,Credit card,435.96,5/24/2022 6:20
444,5,227,Ewallet,18.99,4/28/2022 0:11
445,1,240,Cash,292.81,3/4/2022 15:55
446,5,879,Credit card,7.99,8/25/2022 23:49
447,1,669,Credit card,557,9/22/2022 11:17
448,4,445,Credit card,46.41,12/5/2022 8:30
449,2,143,Credit card,5.25,8/5/2022 20:13
450,2,274,Credit card,2.79,11/27/2022 17:19
451,5,677,Cash,292.5,11/11/2022 5:38
452,1,976,Cash,173.64,11/7/2022 13:43
453,4,666,Ewallet,138.8,8/16/2022 5:21
454,2,907,Ewallet,4.99,11/18/2022 20:49
455,2,130,Cash,131.04,12/11/2022 11:03
456,3,406,Cash,152.35,9/11/2022 11:30
457,4,525,Credit card,515.79,6/14/2022 0:36
458,3,140,Cash,652,9/15/2022 18:05
459,1,777,Cash,740.6,4/17/2022 0:24
460,1,910,Credit card,7.99,10/29/2022 17:13
461,2,257,Cash,121.05,9/23/2022 9:16
462,2,119,Credit card,713.1,3/5/2022 6:34
463,4,128,Cash,133.84,5/3/2022 19:24
464,3,453,Cash,16.99,9/4/2022 18:18
465,3,428,Credit card,131.25,6/5/2022 18:45
466,2,727,Credit card,395.6,4/12/2022 3:10
467,1,866,Credit card,350.35,3/10/2022 3:49
468,1,302,Cash,249.84,11/2/2022 9:09
469,2,412,Ewallet,6.99,12/28/2022 13:22
470,2,349,Cash,4.25,3/18/2022 2:19
471,2,898,Ewallet,206.76,8/21/2022 2:35
472,5,374,Cash,73.04,8/10/2022 2:48
473,1,369,Credit card,499,4/20/2022 16:20
474,4,202,Cash,300.96,12/26/2022 17:25
475,1,805,Cash,184.8,3/1/2022 21:58
476,2,851,Credit card,89.91,8/12/2022 20:45
477,4,388,Credit card,215.25,10/18/2022 17:26
478,2,404,Ewallet,113.84,10/27/2022 21:15
479,2,151,Ewallet,1299,11/23/2022 3:24
480,3,111,Ewallet,8.49,11/22/2022 20:05
481,5,465,Cash,393.12,9/9/2022 15:32
482,1,270,Cash,593.6,4/7/2022 5:56
483,4,421,Ewallet,190.05,4/8/2022 18:34
484,1,770,Cash,630,8/1/2022 20:58
485,1,72,Credit card,692.1,11/10/2022 7:39
486,3,475,Ewallet,126.92,11/18/2022 6:10
487,1,583,Cash,983,4/21/2022 14:19
488,5,506,Ewallet,110.64,5/13/2022 21:12
489,1,459,Cash,7.99,4/4/2022 4:39
490,3,548,Ewallet,543.78,12/7/2022 11:47
491,1,782,Ewallet,9.36,6/11/2022 13:58
492,4,37,Credit card,723,5/1/2022 1:27
493,2,127,Ewallet,375.84,4/25/2022 6:14
494,3,271,Credit card,525.6,10/24/2022 5:20
495,2,855,Ewallet,12.56,12/15/2022 2:58
496,3,904,Cash,440.16,8/6/2022 3:33
497,3,819,Cash,15.08,8/4/2022 14:55
498,3,453,Cash,266.46,9/12/2022 9:29
499,2,789,Cash,3.49,11/12/2022 18:16
500,5,726,Cash,476.16,8/20/2022 19:16
501,5,789,Credit card,5.49,11/11/2022 20:18
502,5,272,Ewallet,8.99,11/2/2022 1:49
503,3,248,Ewallet,13.76,12/27/2022 8:04
504,2,45,Cash,31.96,7/24/2022 22:27
505,4,637,Credit card,2,12/7/2022 4:28
506,5,351,Ewallet,445.76,7/2/2022 15:34
507,5,307,Cash,50.91,5/20/2022 21:44
508,2,843,Credit card,413.64,5/4/2022 2:44
509,4,676,Cash,165.25,3/30/2022 0:05
510,2,94,Credit card,177.24,8/4/2022 22:14
511,2,137,Credit card,281.61,6/23/2022 19:04
512,3,220,Ewallet,93.75,3/6/2022 19:13
513,1,178,Ewallet,248.71,3/9/2022 20:29
514,2,786,Cash,295.61,12/11/2022 18:22
515,2,574,Credit card,253.61,6/28/2022 16:18
516,1,703,Ewallet,4.95,5/15/2022 9:50
517,2,671,Ewallet,163.55,12/20/2022 22:11
518,4,470,Credit card,292.25,12/24/2022 14:07
519,1,848,Ewallet,22.48,10/19/2022 22:45
520,5,812,Credit card,156.75,11/1/2022 18:29
521,5,709,Credit card,49.44,11/19/2022 4:09
522,1,630,Cash,257.64,4/24/2022 8:15
523,1,894,Credit card,265.44,8/16/2022 12:41
524,5,122,Cash,30.56,7/13/2022 22:40
525,5,401,Credit card,302.82,11/12/2022 10:57
526,4,525,Ewallet,83.55,7/28/2022 7:03
527,1,619,Credit card,169.84,4/6/2022 7:57
528,5,644,Ewallet,16.56,4/22/2022 19:37
529,1,343,Credit card,485.6,12/10/2022 13:04
530,5,48,Cash,384.48,12/25/2022 19:26
531,1,228,Ewallet,416.64,8/31/2022 11:43
532,5,640,Credit card,437.84,8/26/2022 14:29
533,2,728,Ewallet,753.7,6/15/2022 13:14
534,5,535,Ewallet,531.09,5/31/2022 6:52
535,3,557,Ewallet,169.75,12/8/2022 17:06
536,5,480,Ewallet,269.01,3/30/2022 14:45
537,5,983,Credit card,29.99,12/3/2022 19:52
538,3,371,Ewallet,1.29,12/1/2022 9:14
539,2,944,Credit card,47.88,9/27/2022 8:31
